IU_ID,IU_ID_Full
21552,GHA21552
21553,GHA21553
21554,GHA21554
21555,GHA21555
21556,GHA21556
21557,GHA21557
21559,GHA21559
21558,GHA21558
21560,GHA21560
21561,GHA21561
21562,GHA21562
21563,GHA21563
21564,GHA21564
21565,GHA21565
21566,GHA21566
21676,GHA21676
21568,GHA21568
21569,GHA21569
21570,GHA21570
21571,GHA21571
21572,GHA21572
21573,GHA21573
21574,GHA21574
21575,GHA21575
21576,GHA21576
21577,GHA21577
21578,GHA21578
21579,GHA21579
21580,GHA21580
21581,GHA21581
21583,GHA21583
21584,GHA21584
21585,GHA21585
21586,GHA21586
21587,GHA21587
21588,GHA21588
21589,GHA21589
21590,GHA21590
21601,GHA21601
21593,GHA21593
21595,GHA21595
21594,GHA21594
21678,GHA21678
21597,GHA21597
21598,GHA21598
21599,GHA21599
21600,GHA21600
21602,GHA21602
21603,GHA21603
21677,GHA21677
21592,GHA21592
21639,GHA21639
21647,GHA21647
21650,GHA21650
21654,GHA21654
21663,GHA21663
21669,GHA21669
21675,GHA21675
22616,GIN22616
22638,GIN22638
22604,GIN22604
22614,GIN22614
22632,GIN22632
22641,GIN22641
22633,GIN22633
22618,GIN22618
22615,GIN22615
22622,GIN22622
22607,GIN22607
22630,GIN22630
22609,GIN22609
22611,GIN22611
22625,GIN22625
22617,GIN22617
22624,GIN22624
22629,GIN22629
22635,GIN22635
22631,GIN22631
22623,GIN22623
22637,GIN22637
22639,GIN22639
22634,GIN22634
22613,GIN22613
22612,GIN22612
22620,GIN22620
22628,GIN22628
22640,GIN22640
22606,GIN22606
22621,GIN22621
22626,GIN22626
22610,GIN22610
22619,GIN22619
22627,GIN22627
22636,GIN22636
22608,GIN22608
22605,GIN22605
23756,GNB23756
23744,GNB23744
23705,GNB23705
23660,GNB23660
23727,GNB23727
23682,GNB23682
23755,GNB23755
23657,GNB23657
23650,GNB23650
23688,GNB23688
23743,GNB23743
23701,GNB23701
23656,GNB23656
23681,GNB23681
23738,GNB23738
23694,GNB23694
23709,GNB23709
23757,GNB23757
23758,GNB23758
23732,GNB23732
23662,GNB23662
23745,GNB23745
23742,GNB23742
23669,GNB23669
23726,GNB23726
23735,GNB23735
23719,GNB23719
23659,GNB23659
23734,GNB23734
23692,GNB23692
23721,GNB23721
23680,GNB23680
23658,GNB23658
23666,GNB23666
23661,GNB23661
23668,GNB23668
23663,GNB23663
23665,GNB23665
23664,GNB23664
23667,GNB23667
23646,GNB23646
23647,GNB23647
23678,GNB23678
23686,GNB23686
23689,GNB23689
23695,GNB23695
23690,GNB23690
23700,GNB23700
23696,GNB23696
23691,GNB23691
23687,GNB23687
23702,GNB23702
23685,GNB23685
23725,GNB23725
23724,GNB23724
23728,GNB23728
23713,GNB23713
23723,GNB23723
23715,GNB23715
23712,GNB23712
23711,GNB23711
23722,GNB23722
23710,GNB23710
23714,GNB23714
23716,GNB23716
23717,GNB23717
23739,GNB23739
23737,GNB23737
23731,GNB23731
23733,GNB23733
23736,GNB23736
23730,GNB23730
23707,GNB23707
23704,GNB23704
23708,GNB23708
23706,GNB23706
23740,GNB23740
23741,GNB23741
23750,GNB23750
23654,GNB23654
23653,GNB23653
23746,GNB23746
23747,GNB23747
23751,GNB23751
23652,GNB23652
23749,GNB23749
23752,GNB23752
23748,GNB23748
23648,GNB23648
23674,GNB23674
23643,GNB23643
23642,GNB23642
23670,GNB23670
23675,GNB23675
23673,GNB23673
23644,GNB23644
23676,GNB23676
23677,GNB23677
23671,GNB23671
23672,GNB23672
23679,GNB23679
23645,GNB23645
23655,GNB23655
23683,GNB23683
23684,GNB23684
23698,GNB23698
23697,GNB23697
23693,GNB23693
23699,GNB23699
