"IU_ID","IU_ID_Full","IU_CODE"
45432,"SWZ45432","SWZ0468445432"
45433,"SWZ45433","SWZ0468445433"
45434,"SWZ45434","SWZ0468445434"
45435,"SWZ45435","SWZ0468445435"
45459,"SWZ45459","SWZ0468445459"
45436,"SWZ45436","SWZ0468445436"
45437,"SWZ45437","SWZ0468445437"
45439,"SWZ45439","SWZ0468445439"
45440,"SWZ45440","SWZ0468445440"
45441,"SWZ45441","SWZ0468445441"
45442,"SWZ45442","SWZ0468445442"
45443,"SWZ45443","SWZ0468445443"
45444,"SWZ45444","SWZ0468445444"
45445,"SWZ45445","SWZ0468545445"
45446,"SWZ45446","SWZ0468545446"
45447,"SWZ45447","SWZ0468545447"
45448,"SWZ45448","SWZ0468545448"
45449,"SWZ45449","SWZ0468545449"
45450,"SWZ45450","SWZ0468545450"
45451,"SWZ45451","SWZ0468545451"
45452,"SWZ45452","SWZ0468545452"
45453,"SWZ45453","SWZ0468545453"
45454,"SWZ45454","SWZ0468545454"
45455,"SWZ45455","SWZ0468545455"
45456,"SWZ45456","SWZ0468545456"
45457,"SWZ45457","SWZ0468545457"
45458,"SWZ45458","SWZ0468545458"
45408,"SWZ45408","SWZ0468245408"
45438,"SWZ45438","SWZ0468445438"
20336,"GAB20336","GAB0205320336"
20358,"GAB20358","GAB0205620358"
20342,"GAB20342","GAB0205320342"
20370,"GAB20370","GAB0205820370"
20372,"GAB20372","GAB0205920372"
20356,"GAB20356","GAB0205520356"
20359,"GAB20359","GAB0205620359"
20368,"GAB20368","GAB0205820368"
20374,"GAB20374","GAB0206020374"
20346,"GAB20346","GAB0205420346"
20340,"GAB20340","GAB0205320340"
20353,"GAB20353","GAB0205520353"
20366,"GAB20366","GAB0205720366"
20343,"GAB20343","GAB0205320343"
20365,"GAB20365","GAB0205720365"
20371,"GAB20371","GAB0205920371"
20355,"GAB20355","GAB0205520355"
20363,"GAB20363","GAB0205720363"
20364,"GAB20364","GAB0205720364"
20328,"GAB20328","GAB0205220328"
20329,"GAB20329","GAB0205220329"
20347,"GAB20347","GAB0205420347"
20375,"GAB20375","GAB0206020375"
20378,"GAB20378","GAB0206020378"
20377,"GAB20377","GAB0206020377"
20361,"GAB20361","GAB0205620361"
20350,"GAB20350","GAB0205520350"
20349,"GAB20349","GAB0205520349"
20362,"GAB20362","GAB0205620362"
20367,"GAB20367","GAB0205820367"
20373,"GAB20373","GAB0205920373"
20345,"GAB20345","GAB0205320345"
20339,"GAB20339","GAB0205320339"
20369,"GAB20369","GAB0205820369"
