"IUID","Region"
"COD14326",4
"COD14305",4
"COD14321",4
"COD14319",4
"COD14303",4
"COD14309",4
"COD14078",4
"COD14102",4
"COD14095",4
"COD14094",4
"COD14121",4
"COD14106",4
"COD14109",4
"COD14304",4
"COD14300",4
"COD14213",4
"COD14311",4
"COD13967",4
"COD14099",4
"COD13863",4
"COD13867",4
"COD13841",4
"COD13914",4
"COD13848",4
"COD13912",4
"COD13941",4
"COD13860",4
"COD13908",4
"COD13959",4
"COD13956",4
"COD13951",4
"COD13925",4
"COD13913",4
"COD13935",4
"COD13901",4
"COD13947",4
"COD13950",4
"COD14329",4
"COD13957",4
"COD13910",4
"COD13930",4
"COD13944",4
"COD13902",4
"COD13953",4
"CAF09665",5
"CAF09663",5
"CAF09671",5
"CAF09669",5
"CAF09666",5
"CAF09668",5
"CAF09674",5
"CAF09675",5
"CAF09672",5
"CAF09681",5
"CAF09683",5
"CAF09679",5
"CAF09678",5
"CAF09673",5
"CAF09676",5
"CAF09686",5
"CAF09684",5
"CAF09685",5
"CAF09689",5
"CAF09688",5
"CAF09692",5
"CAF09662",5
"CAF09680",5
"CAF09661",5
"CAF09664",5
"CAF09682",5
"CAF09691",5
"CAF09687",5
"CAF09667",5
"CAF09690",5
"CAF09677",5
"CAF09670",5
"CAF09695",5
"CAF09693",5
"CAF09694",5
"ERI17452",5
"ERI17459",5
"KEN54253",5
"KEN54254",5
"KEN54255",5
"KEN54250",5
"KEN54176",5
"KEN54175",5
"KEN54174",5
"KEN54172",5
"KEN54124",5
"KEN54122",5
"KEN54123",5
"KEN54125",5
"KEN54093",5
"KEN54090",5
"KEN54088",5
"KEN54091",5
"KEN54092",5
"KEN54089",5
"KEN54087",5
"SSD44369",5
"SSD44353",5
"SSD44351",5
"SSD44357",5
"SSD44361",5
"SSD44358",5
"SSD44365",5
"SSD44388",5
"SSD44322",5
"SSD44320",5
"SSD44321",5
"SSD44324",5
"SSD44319",5
"SSD44323",5
"SSD44331",5
"SSD44326",5
"SSD44329",5
"SSD44325",5
"SSD44332",5
"SSD44327",5
"SSD44349",5
"SSD44354",5
"SSD44397",5
"SSD44395",5
"SSD44390",5
"SSD44396",5
"SSD44384",5
"SSD44385",5
"SSD44389",5
"SSD44401",5
"SSD44392",5
"SSD44394",5
"SSD44393",5
"SSD44391",5
"SSD44400",5
"SSD44338",5
"SSD44342",5
"SSD44382",5
"SSD44374",5
"SSD44343",5
"SSD44380",5
"SSD44377",5
"SSD44371",5
"SSD44372",5
"SSD44344",5
"SSD44379",5
"SSD44378",5
"SSD44381",5
"SSD44375",5
"SSD44399",5
"SDN66142",5
"SDN66026",5
"SDN66063",5
"SDN66064",5
"SDN66143",5
"SDN66065",5
"SDN66066",5
"SDN66067",5
"SDN66068",5
"SDN66077",5
"SDN66144",5
"SDN66145",5
"SDN66146",5
"SDN66070",5
"SDN66147",5
"SDN66071",5
"SDN66148",5
"SDN66073",5
"SDN66074",5
"SDN66028",5
"SDN66029",5
"SDN66030",5
"SDN66075",5
"SDN66149",5
"SDN66032",5
"SDN66078",5
"SDN66033",5
"SDN66034",5
"SDN66037",5
"SDN66116",5
"SDN66041",5
"SDN66115",5
"SDN66027",5
"SDN66121",5
"SDN66126",5
"SDN66043",5
"SDN66128",5
"SDN66112",5
"SDN66122",5
"SDN66042",5
"SDN66118",5
"SDN66031",5
"SDN66036",5
"SDN66127",5
"SDN66120",5
"SDN66119",5
"SDN66039",5
"SDN66113",5
"SDN66040",5
"SDN66038",5
"SDN66124",5
"SDN66044",5
